Date,Description,Category,Amount
2026-06-15,Mobile Phone Bill,Utilities,-67.03
2026-06-16,Tax Refund,Income,156.63
2026-06-16,Movie Night,Entertainment,-19.38
2026-06-17,Coffee Beans,Food & Drink,-19.84
2026-06-17,Yoga Studio,Fitness,-55.44
2026-06-18,Home Repair Service,Home Improvement,-233.67
2026-06-18,Office Supplies,Work Expenses,-34.97
2026-06-19,Car Maintenance,Transport,-280.44
2026-06-19,Garden Center,Home Improvement,-43.05
2026-06-20,Friend's Gift,Personal Care,-32.66
2026-06-20,Consulting Retainer,Income,498.8
2026-06-21,Restaurant Brunch,Food & Drink,-47.49
2026-06-21,Pharmacy Refill,Health,-25.01
2026-06-22,Electric Scooter Charge,Transport,-9.12
2026-06-22,Cloud Storage,Utilities,-11.39
2026-06-23,Book Club Snacks,Entertainment,-15.87
2026-06-23,Childcare Fee,Family,-234.19
2026-06-24,Water Bill,Utilities,-47.1
2026-06-24,Freelance Bonus,Income,132.9
2026-06-25,Cooking Class,Education,-93.99
2026-06-25,Veterinary Checkup,Pet Care,-136.43
2026-06-26,Concert Tickets,Entertainment,-148.31
2026-06-26,Bike Repair,Transport,-70.96
2026-06-27,Weekend Groceries,Groceries,-141.71
2026-06-27,Farmer's Market Stall,Side Business,185.68
2026-06-28,Home Insurance,Insurance,-122.5
2026-06-28,Donation Drive,Charity,-63.88
2026-06-29,Public Transit,Transport,-20.26
2026-06-29,Co-Working Space,Work Expenses,-85.41
2026-06-30,Interest Earned,Investment Income,13.87
2026-06-30,End-of-Month Savings,Savings,-415.3
2026-07-01,Salary Deposit,Income,3166.54
2026-07-02,Rent Payment,Housing,-1470.74
2026-07-02,Grocery Run Aisle 5,Groceries,-120.95
2026-07-03,Morning Coffee,Food & Drink,-5.19
2026-07-03,Bus Pass Reload,Transport,-45.35
2026-07-04,Electric Bill,Utilities,-86.92
2026-07-04,Streaming Subscription,Entertainment,-13.63
2026-07-05,Pharmacy Visit,Health,-37.67
2026-07-05,Fitness Club,Fitness,-42.9
2026-07-06,Restaurant Night Out,Food & Drink,-53.7
2026-07-06,Freelance Invoice,Income,689.27
2026-07-07,Charity Donation,Charity,-42.49
2026-07-07,Gas Station Fill-Up,Transport,-66.88
2026-07-08,Bookstore Purchase,Education,-36.28
2026-07-08,Internet Provider,Utilities,-63.39
2026-07-09,Hardware Store,Home Improvement,-76.96
2026-07-09,Insurance Premium,Insurance,-116.48
2026-07-10,Salon Visit,Personal Care,-77.94
2026-07-10,Stock Dividend,Investment Income,43.62
2026-07-11,Lunch with Colleagues,Food & Drink,-24.19
2026-07-11,Parking Garage,Transport,-18.9
2026-07-12,Art Supplies,Entertainment,-26.91
2026-07-12,Side Gig Payment,Income,218.38
2026-07-13,Farmer's Market,Groceries,-48.8
2026-07-13,Pet Store,Pet Care,-31.79
2026-07-14,Car Wash,Transport,-12.76
2026-07-14,Online Course,Education,-93.02
2026-07-15,Savings Transfer,Savings,-453.02
2026-07-15,Mobile Phone Bill,Utilities,-81.39
2026-07-16,Tax Refund,Income,134.79
2026-07-16,Movie Night,Entertainment,-25.75
2026-07-17,Coffee Beans,Food & Drink,-19.78
2026-07-17,Yoga Studio,Fitness,-55.66
2026-07-18,Home Repair Service,Home Improvement,-237.2
2026-07-18,Office Supplies,Work Expenses,-38.72
2026-07-19,Car Maintenance,Transport,-315.27
2026-07-19,Garden Center,Home Improvement,-50.46
2026-07-20,Friend's Gift,Personal Care,-31.33
2026-07-20,Consulting Retainer,Income,474.05
2026-07-21,Restaurant Brunch,Food & Drink,-43.68
2026-07-21,Pharmacy Refill,Health,-26.19
2026-07-22,Electric Scooter Charge,Transport,-9.06
2026-07-22,Cloud Storage,Utilities,-9.56
2026-07-23,Book Club Snacks,Entertainment,-18.41
2026-07-23,Childcare Fee,Family,-207.55
2026-07-24,Water Bill,Utilities,-47.6
2026-07-24,Freelance Bonus,Income,114.1
2026-07-25,Cooking Class,Education,-97.64
2026-07-25,Veterinary Checkup,Pet Care,-125.72
2026-07-26,Concert Tickets,Entertainment,-127.23
2026-07-26,Bike Repair,Transport,-57.16
2026-07-27,Weekend Groceries,Groceries,-150.06
2026-07-27,Farmer's Market Stall,Side Business,204.02
2026-07-28,Home Insurance,Insurance,-119.19
2026-07-28,Donation Drive,Charity,-51.31
2026-07-29,Public Transit,Transport,-21.57
2026-07-29,Co-Working Space,Work Expenses,-92.68
2026-07-30,Interest Earned,Investment Income,14.19
2026-07-30,End-of-Month Savings,Savings,-443.79
2026-08-01,Salary Deposit,Income,3070.9
2026-08-02,Rent Payment,Housing,-1398.4
2026-08-02,Grocery Run Aisle 5,Groceries,-110.26
2026-08-03,Morning Coffee,Food & Drink,-5.18
2026-08-03,Bus Pass Reload,Transport,-51.11
2026-08-04,Electric Bill,Utilities,-96.52
2026-08-04,Streaming Subscription,Entertainment,-11.68
2026-08-05,Pharmacy Visit,Health,-33.86
2026-08-05,Fitness Club,Fitness,-52.32
2026-08-06,Restaurant Night Out,Food & Drink,-67.43
2026-08-06,Freelance Invoice,Income,710.51
2026-08-07,Charity Donation,Charity,-35.96
2026-08-07,Gas Station Fill-Up,Transport,-67.31
2026-08-08,Bookstore Purchase,Education,-29.94
2026-08-08,Internet Provider,Utilities,-65.72
2026-08-09,Hardware Store,Home Improvement,-76.11
2026-08-09,Insurance Premium,Insurance,-134.54
2026-08-10,Salon Visit,Personal Care,-89.02
2026-08-10,Stock Dividend,Investment Income,46.45
2026-08-11,Lunch with Colleagues,Food & Drink,-27.6
2026-08-11,Parking Garage,Transport,-19.43
2026-08-12,Art Supplies,Entertainment,-26.15
2026-08-12,Side Gig Payment,Income,187.14
2026-08-13,Farmer's Market,Groceries,-48.61
2026-08-13,Pet Store,Pet Care,-36.98
2026-08-14,Car Wash,Transport,-13.52
2026-08-14,Online Course,Education,-95.08
2026-08-15,Savings Transfer,Savings,-436.46
2026-08-15,Mobile Phone Bill,Utilities,-69.94
2026-08-16,Tax Refund,Income,162.16
2026-08-16,Movie Night,Entertainment,-22.1
2026-08-17,Coffee Beans,Food & Drink,-20.3
2026-08-17,Yoga Studio,Fitness,-48.01
2026-08-18,Home Repair Service,Home Improvement,-208.81
2026-08-18,Office Supplies,Work Expenses,-34.4
2026-08-19,Car Maintenance,Transport,-302.86
2026-08-19,Garden Center,Home Improvement,-54.61
2026-08-20,Friend's Gift,Personal Care,-33.65
2026-08-20,Consulting Retainer,Income,491.54
2026-08-21,Restaurant Brunch,Food & Drink,-42.49
2026-08-21,Pharmacy Refill,Health,-24.12
2026-08-22,Electric Scooter Charge,Transport,-9.08
2026-08-22,Cloud Storage,Utilities,-9.94
2026-08-23,Book Club Snacks,Entertainment,-15.41
2026-08-23,Childcare Fee,Family,-227.27
2026-08-24,Water Bill,Utilities,-44.78
2026-08-24,Freelance Bonus,Income,133.33
2026-08-25,Cooking Class,Education,-97.64
2026-08-25,Veterinary Checkup,Pet Care,-109.91
2026-08-26,Concert Tickets,Entertainment,-144.69
2026-08-26,Bike Repair,Transport,-71.78
2026-08-27,Weekend Groceries,Groceries,-150.14
2026-08-27,Farmer's Market Stall,Side Business,168.66
2026-08-28,Home Insurance,Insurance,-122.83
2026-08-28,Donation Drive,Charity,-51.27
2026-08-29,Public Transit,Transport,-26.17
2026-08-29,Co-Working Space,Work Expenses,-73.88
2026-08-30,Interest Earned,Investment Income,13.64
2026-08-30,End-of-Month Savings,Savings,-516.77
